ppm intensity peak
0.491478835 0.034766902 1
0.492028587 0.028664507 1
0.49257834 0.024091187 1
0.493128092 0.02585865 1
0.493677845 0.004877901 1
0.494227598 -0.009034694 1
0.49477735 0.018292372 1
0.495327103 0.012777513 1
0.495876855 0.002747305 1
0.496426608 0.029480873 1
0.496976361 -0.005997089 1
0.497526113 0.006236565 1
0.498075866 0.010566679 1
0.498625618 0.01816714 1
0.499175371 0.011383307 1
0.499725124 0.00189445 1
0.500274876 0.023552645 1
0.500824629 0.033252117 1
0.501374382 0.008702949 1
0.501924134 -0.014452465 1
0.502473887 0.008829637 1
0.503023639 -0.00800833 1
0.503573392 0.004293257 1
0.504123145 0.036152033 1
0.504672897 0.048003056 1
0.50522265 0.024509003 1
0.505772402 0.031915674 1
0.506322155 0.022581418 1
0.506871908 0.014959525 1
0.50742166 0.013880851 1
0.507971413 -0.006810689 1
0.508521165 -0.006810689 1
0.509070918 -0.006810689 1
0.509620671 -0.006810689 1
0.510170423 -0.006810689 1
0.510720176 -0.006810689 1
0.511269929 -0.006810689 1
0.511819681 -0.006810689 1
0.512369434 0.030323197 1
0.512919186 0.023388762 1
0.513468939 0.035912776 1
0.514018692 0.011611027 1
0.514568444 0.011611027 1
0.515118197 0.011611027 1
0.515667949 0.011611027 1
0.516217702 0.015495055 1
0.516767455 0.042640285 1
0.517317207 0.045664515 1
0.51786696 0.041913364 1
0.518416712 0.034329411 1
0.518966465 0.006819969 1
0.519516218 -0.001420226 1
0.52006597 0.014602099 1
0.520615723 0.010826788 1
0.521165476 0.010826788 1
0.521715228 0.011768542 1
0.522264981 0.033783498 1
0.522814733 0.07163394 1
0.523364486 0.038470678 1
0.523914239 -0.004726202 1
0.524463991 0.007887661 1
0.525013744 0.000819719 1
0.525563496 -0.012108497 1
0.526113249 0.009495934 1
0.526663002 0.013636328 1
0.527212754 0.021870634 1
0.527762507 0.020956604 1
0.528312259 0.012933978 1
0.528862012 0.006131857 1
0.529411765 0.008157431 1
0.529961517 0.009886726 1
0.53051127 -0.002723955 1
0.531061023 -0.007742981 1
0.531610775 -0.013309502 1
0.532160528 0.016226845 1
0.53271028 0.027424469 1
0.533260033 0.023838722 1
0.533809786 0.030349978 1
0.534359538 0.038722059 1
0.534909291 0.029354728 1
0.535459043 0.013453715 1
0.536008796 0.002045637 1
0.536558549 -0.008874766 1
0.537108301 -0.014636905 1
0.537658054 0.02021023 1
0.538207806 0.008570124 1
0.538757559 0.015987488 1
0.539307312 0.012295846 1
0.539857064 0.000534609 1
0.540406817 0.000534609 1
0.54095657 0.000534609 1
0.541506322 0.000534609 1
